warning: Some design elements have no explicit time unit and/or
       : time precision. This may cause confusing timing results.
       : Affected design elements are:
       :   -- module alarm_comparator declared here: design.sv:6
       :   -- module clock_divider declared here: design.sv:80
       :   -- module clock_divider_pulse declared here: design.sv:51
       :   -- module display_mux declared here: design.sv:112
       :   -- module hours_counter declared here: design.sv:168
       :   -- module minutes_counter declared here: design.sv:193
       :   -- module seconds_counter declared here: design.sv:224
       :   -- module seg_decoder declared here: design.sv:256
       :   -- module top_digital_clock declared here: design.sv:283
VCD info: dumpfile digital_clock.vcd opened for output.
T=0 | rst=1 | H:M:S = 0:0:0 | alarm_en=0 | alarm_out=0
T=20000 : RESET RELEASED. hour=0 min=0 sec=0
T=20000 | rst=0 | H:M:S = 0:0:0 | alarm_en=0 | alarm_out=0
T=125000 | rst=0 | H:M:S = 0:0:1 | alarm_en=0 | alarm_out=0
T=220000 : TIME CHECK hour=0 min=0 sec=1
T=220000 | rst=0 | H:M:S = 0:0:1 | alarm_en=1 | alarm_out=0
T=225000 | rst=0 | H:M:S = 0:0:2 | alarm_en=1 | alarm_out=0
T=230000 : ALARM SET to 0:1, enable=1
T=325000 | rst=0 | H:M:S = 0:0:3 | alarm_en=1 | alarm_out=0
T=425000 | rst=0 | H:M:S = 0:0:4 | alarm_en=1 | alarm_out=0
T=525000 | rst=0 | H:M:S = 0:0:5 | alarm_en=1 | alarm_out=0
T=625000 | rst=0 | H:M:S = 0:0:6 | alarm_en=1 | alarm_out=0
T=725000 | rst=0 | H:M:S = 0:0:7 | alarm_en=1 | alarm_out=0
T=825000 | rst=0 | H:M:S = 0:0:8 | alarm_en=1 | alarm_out=0
T=925000 | rst=0 | H:M:S = 0:0:9 | alarm_en=1 | alarm_out=0
T=1025000 | rst=0 | H:M:S = 0:0:10 | alarm_en=1 | alarm_out=0
T=1125000 | rst=0 | H:M:S = 0:0:11 | alarm_en=1 | alarm_out=0
T=1225000 | rst=0 | H:M:S = 0:0:12 | alarm_en=1 | alarm_out=0
T=1325000 | rst=0 | H:M:S = 0:0:13 | alarm_en=1 | alarm_out=0
T=1425000 | rst=0 | H:M:S = 0:0:14 | alarm_en=1 | alarm_out=0
T=1525000 | rst=0 | H:M:S = 0:0:15 | alarm_en=1 | alarm_out=0
T=1625000 | rst=0 | H:M:S = 0:0:16 | alarm_en=1 | alarm_out=0
T=1725000 | rst=0 | H:M:S = 0:0:17 | alarm_en=1 | alarm_out=0
